date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:12	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://aronjmatsuyama.wixsite.com/robots.txt		(from )
20:22:13	393757/393757	---MCZ	200	added ('OK')	text/html	etag:W/%22e643e500f7e487d7a8edb74047aec352%22	https://aronjmatsuyama.wixsite.com/tuttitutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors.html	(from )
20:22:13	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:13	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/aronsite/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:14	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2017%20Jan%202025%2001:22:13%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/aronsite/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:14	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:14%20GMT	https://aronjmatsuyama.wixsite.com/c	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/c.4.delayed	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:15	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:15%20GMT	https://aronjmatsuyama.wixsite.com/t	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/t.5.delayed	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:16	2484/2484	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:22:15%20GMT	https://aronjmatsuyama.wixsite.com/	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/index.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:16	1977/1977	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jan%202025%2001:22:15%20GMT	https://static.wixstatic.com/media/f231c9_81ae112f98944301b0071828e4fcde10~mv2.png/v1/fill/w_43,h_43,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Tutti%20Logo.png	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/f231c9_81ae112f98944301b0071828e4fcde10_mv2.png/v1/fill/w_43,h_43,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Tutti%20Logo.png	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:17	366022/366022	---MCZ	200	added ('OK')	text/html	etag:W/%227cf888a726f51411daca9031f79a0aad%22	https://aronjmatsuyama.wixsite.com/tuttitutors/contact-8	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/contact-8.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:17	2544/2544	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:17%20GMT	https://static.wixstatic.com/media/5012c52b89b5413da9f827265f8d06d7.jpg/v1/fill/w_117,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Violin%20Shop.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/5012c52b89b5413da9f827265f8d06d7.jpg/v1/fill/w_117,h_78,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Violin%20Shop.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:18	1946/1946	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:18%20GMT	https://static.wixstatic.com/media/9a215c183eae4178b054d417d878f870.jpg/v1/crop/x_468,y_0,w_2568,h_2336/fill/w_78,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Piano%20B%26W.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/9a215c183eae4178b054d417d878f870.jpg/v1/crop/x_468,y_0,w_2568,h_2336/fill/w_78,h_70,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Piano%20B&W.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:19	362403/362403	---MCZ	200	added ('OK')	text/html	etag:W/%22166eba4df9b22c24cab790632df1e8d2%22	https://aronjmatsuyama.wixsite.com/tuttitutors/piano-tutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/piano-tutors.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:19	1624/1624	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jan%202025%2001:22:19%20GMT	https://static.wixstatic.com/media/nsplsh_65a212f4bce9412582bf1dcc7b29157b~mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Providence%20Doucet.jpg	C:/My%20Web%20Sites/aronsite/static.wixstatic.com/media/nsplsh_65a212f4bce9412582bf1dcc7b29157b_mv2.jpg/v1/fill/w_78,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Image%20by%20Providence%20Doucet.jpg	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
20:22:21	362786/362786	---MCZ	200	added ('OK')	text/html	etag:W/%22a9ecd720848cf77bfbd42da3ceb08c49%22	https://aronjmatsuyama.wixsite.com/tuttitutors/violin-tutors	C:/My%20Web%20Sites/aronsite/aronjmatsuyama.wixsite.com/tuttitutors/violin-tutors.html	(from https://aronjmatsuyama.wixsite.com/tuttitutors)
